Tag,F1-Score
apparitions,1.0
virgin-mary,0.8
programming,0.75
comics,0.6666666666666666
newage,0.6666666666666666
nuns,0.6666666666666666
catholic,0.6549707602339181
science,0.6363636363636364
russia,0.6153846153846154
art,0.5714285714285714
poetry,0.5714285714285714
prayer,0.5714285714285714
ufo,0.5714285714285714
fiction,0.5333333333333333
anxiety,0.5
writing,0.5
biography,0.4878048780487805
christ,0.48
history,0.4666666666666667
philosophy,0.4489795918367347
bible,0.42857142857142855
children,0.42857142857142855
mental-health,0.4
orthodox-christians,0.4
women,0.4
miex,0.38095238095238093
psichology,0.35714285714285715
theology,0.34285714285714286
astronomy,0.3333333333333333
beatific-visions,0.3333333333333333
